time,open,high,low,close,Plot,Plot,Plot,Plot,Plot,Plot
1754827200,118330.58,119113.94,118232,118815,118096.2385053788,116712.74208333365,116207.6839999997,116192.61347921644,117242.00361111114,116177.02113874194
1754841600,118815,118944.24,118433.8,118663.08,118285.18567025254,116854.53750000033,116375.90266666638,116394.80948129979,117245.08288888894,116232.26689121433
1754856000,118663.09,119311.11,118074.99,119294.01,118621.46044683503,117033.77666666698,116548.04466666638,116608.78075489962,117254.89594444448,116300.30562696511
1754870400,119294.27,122164.07,118972.59,121728.99,119657.30363122336,117333.06666666699,116822.01199999971,116862.65031809734,117276.8657777778,116420.943057477
1754884800,121729,122335.16,121466.08,121537.15,120283.91908748224,117614.28166666698,117065.65333333306,117145.84133464519,117298.0055555556,116534.63654508862
1754899200,121537.14,121823,120286.4,120561.54,120376.45939165482,117782.69875000032,117276.81499999971,117437.75169233601,117313.29188888891,116624.1232885311
1754913600,120561.53,120667.54,119382.91,120314.4,120355.77292776988,117933.72333333366,117440.16599999972,117729.02021484195,117331.14961111113,116706.12943767487
1754928000,120314.4,120794.05,118604.17,119089.3,119933.61528517993,118001.52833333366,117567.80966666639,118001.21213649494,117339.69594444447,116759.08878350431
1754942400,119089.3,119172.63,118050.11,118686,119517.74352345329,118052.11125000032,117690.93399999972,118247.76968608118,117346.72927777779,116801.90903275978
1754956800,118686,119275.46,118593.39,118857.7,119297.72901563553,118140.459166667,117834.65633333306,118470.94922525763,117352.86316666669,116847.59327647624
1754971200,118857.7,119158.06,118424.86,118986.72,119194.05934375702,118230.85625000032,117974.61399999974,118672.91957001644,117358.35050000004,116895.12942588786
1754985600,118986.73,119058.43,118207.47,118522.22,118970.11289583801,118298.80250000033,118041.37033333305,118847.6427703845,117360.8516666667,116931.28699420147
1755000000,118522.22,119960,118285,119933,119291.07526389201,118454.02375000033,118149.47666666638,119015.27029179214,117367.85588888892,116997.99172766366
1755014400,119933,120192.1,119172.62,119665.27,119415.80684259467,118587.85125000034,118222.91966666639,119174.7909171241,117371.7680555556,117057.26457816
1755028800,119665.27,120324.43,119485.84,120134.08,119655.23122839644,118731.990416667,118311.65533333305,119334.77926200326,117377.5871666667,117125.6382542009
1755043200,120134.09,120192.1,119094.28,119482.01,119597.49081893096,118861.07375000033,118403.14399999972,119487.27538446675,117370.54144444449,117178.0020707742
1755057600,119482.01,119820.18,118920.92,119580.4,119591.7938792873,118978.75666666699,118495.25099999971,119634.06838679666,117353.01011111116,117231.38869142366
