time,open,high,low,close
1769666400,123.25,123.98,123.11,123.3
1769677200,123.3,123.38,122.66,122.76
1769688000,122.76,123.34,120.29,120.37
1769698800,120.38,120.44,116.12,117.91
1769709600,117.92,118.19,115.39,116.95
1769720400,116.95,117.91,116.92,117.82
1769731200,117.82,118.14,112.14,114.12
1769742000,114.12,116.1,113.55,115.46
1769752800,115.47,116.18,113.01,115.39
1769763600,115.39,117.28,114.67,117.08
1769774400,117.08,117.64,115.21,116.36
1769785200,116.36,117.99,114.58,116.64
1769796000,116.63,119.12,114.34,117.01
1769806800,117.01,118,116.58,117.59
1769817600,117.6,118.56,117.39,118.31
1769828400,118.31,118.85,118.01,118.62
1769839200,118.62,118.8,114.29,115.62
1769850000,115.62,116.92,115.39,116.05
1769860800,116.06,116.19,108.23,109.14
1769871600,109.14,110.2,100.26,103.31
1769882400,103.3,103.88,96.4,101.99
1769893200,101.99,106.55,101.31,105.58
1769904000,105.58,106.43,104.23,105.56
1769914800,105.56,105.71,104.5,104.69
1769925600,104.69,106.06,103.96,105.52
1769936400,105.52,105.94,103.59,105.05
1769947200,105.06,106.69,101.75,102.95
1769958000,102.96,102.96,100.21,102.44
1769968800,102.44,104.27,100.19,101.59
1769979600,101.59,102.88,98.02,100.79
1769990400,100.78,103.14,99.65,100.75
1770001200,100.75,101.79,95.95,98.3
1770012000,98.3,102.49,97.07,101.7
1770022800,101.71,103.45,101.42,102.78
1770033600,102.78,105.14,102.39,103.97
1770044400,103.97,106.12,103.56,104.81
1770055200,104.81,105.04,103.32,103.84
1770066000,103.85,105.2,103.8,104.55
1770076800,104.54,104.67,102.35,102.44
1770087600,102.44,105.1,102.18,103.72
1770098400,103.72,105.04,102.96,104.11
1770109200,104.11,104.21,102.5,103.01
1770120000,103.01,103.65,100.75,100.86
1770130800,100.85,102.79,99.03,99.11
1770141600,99.11,102.07,96.64,101.14
1770152400,101.14,101.85,97.21,97.89
1770163200,97.89,99.67,97.17,97.93
1770174000,97.94,99.64,96.46,97.02
1770184800,97.02,98.8,96.77,97.73
1770195600,97.72,97.79,94.71,96.11
1770206400,96.12,96.73,92.95,93.13
1770217200,93.12,94.2,90,91.44
1770228000,91.45,94.71,90.35,93.24
1770238800,93.24,93.39,89.3,92.12
1770249600,92.11,92.89,90.52,90.93
1770260400,90.92,92.11,89.92,91.17
1770271200,91.17,92.46,89.68,91.77
1770282000,91.77,93.43,88.66,89.98
1770292800,89.98,91.43,88.2,88.6
1770303600,88.6,88.99,82.44,82.7
1770314400,82.7,83.34,77.68,78.84
1770325200,78.84,81.63,77.6,78.35
1770336000,78.34,80.3,67.5,76.95
1770346800,76.95,81.65,75.73,81.15
1770357600,81.15,81.6,78.67,79.07
1770368400,79.07,82.04,78.95,81.36
1770379200,81.36,85.19,80.85,84.18
1770390000,84.18,88.72,83.4,86.73
1770400800,86.73,87.96,85.23,86.92
1770411600,86.91,89.84,86.6,87.46
1770422400,87.45,87.61,85.91,87.35
1770433200,87.35,89.04,87.24,87.81
1770444000,87.8,88.25,84.16,85.36
1770454800,85.36,85.73,84.51,84.91
1770465600,84.9,87.2,84.85,85.77
1770476400,85.77,88.12,85.65,87.65
1770487200,87.64,89.2,87.45,88.91
1770498000,88.92,89.2,86.86,87.59
1770508800,87.59,88.22,86.94,87.27
1770519600,87.27,87.56,86.63,87.29
1770530400,87.29,88.83,86.69,88.65
1770541200,88.64,88.99,86.44,88.25
1770552000,88.25,88.89,87.7,88.43
1770562800,88.43,88.76,85.77,86.96
1770573600,86.96,88.61,86.76,86.9
1770584400,86.89,89.08,86.06,86.99
1770595200,86.99,87.98,85.75,87.01
1770606000,87.02,87.91,86.84,87.26
1770616800,87.26,87.26,83.86,84.59
1770627600,84.58,84.93,82.86,83.47
1770638400,83.48,85.24,83.45,84.96
1770649200,84.95,88.1,84.32,87.79
1770660000,87.78,88.69,87.07,87.76
1770670800,87.76,87.89,86.53,86.77
1770681600,86.77,87.49,86.28,86.66
1770692400,86.67,86.85,85.26,85.95
1770703200,85.95,86.04,84.17,84.66
1770714000,84.65,85.09,83.77,83.85
1770724800,83.85,85.24,83.2,83.72
1770735600,83.72,85.14,83.43,84.9
1770746400,84.91,84.98,82.3,82.63
1770757200,82.63,83,81.91,82.99
