time,open,high,low,close
1772114400,87.63,88.26,86.27,87.02
1772118000,87.01,87.1,85.27,86.56
1772121600,86.57,86.75,84.34,84.58
1772125200,84.58,85.35,84.51,84.9
1772128800,84.91,85.7,84.47,85.38
1772132400,85.38,86.68,85.34,86.47
1772136000,86.47,86.87,85.85,86.03
1772139600,86.02,86.29,85.73,85.94
1772143200,85.94,86.39,85.8,86.15
1772146800,86.14,86.15,85.77,85.91
1772150400,85.91,86.04,85.19,85.83
1772154000,85.83,86.15,85.3,86.15
1772157600,86.14,86.79,85.94,86.58
1772161200,86.58,87.82,86.35,87.63
1772164800,87.63,88.29,87.48,87.56
1772168400,87.55,87.86,87.4,87.54
1772172000,87.54,87.62,86.85,87.34
1772175600,87.34,87.43,86.81,87.31
1772179200,87.31,87.93,87.22,87.57
1772182800,87.58,87.82,86.23,86.33
1772186400,86.33,86.49,84.57,84.71
1772190000,84.71,84.96,83.35,83.59
1772193600,83.59,83.76,82.66,83.12
1772197200,83.12,83.57,81.95,83.08
1772200800,83.07,83.36,82.09,82.39
1772204400,82.38,83.07,82.31,82.7
1772208000,82.7,82.7,81.32,81.37
1772211600,81.37,81.9,81.11,81.84
1772215200,81.84,82.03,81.39,81.48
1772218800,81.48,81.72,81.13,81.57
1772222400,81.57,81.87,81.22,81.45
1772226000,81.45,81.82,80.84,81.2
1772229600,81.2,81.6,80.32,81.43
1772233200,81.43,82.11,81.35,81.85
1772236800,81.84,82.16,81.59,82.12
1772240400,82.12,82.27,81.73,81.78
1772244000,81.78,82.2,81.71,82.15
1772247600,82.15,82.15,81.55,81.74
1772251200,81.75,81.9,81.21,81.65
1772254800,81.65,81.82,81.29,81.56
1772258400,81.56,81.56,77.12,77.56
1772262000,77.56,79.62,77.14,78.71
1772265600,78.7,78.72,77.85,78.02
1772269200,78.01,78.73,77.74,78.42
1772272800,78.41,79.18,77.96,79.12
1772276400,79.11,79.6,78.67,78.78
1772280000,78.78,79.22,78.59,78.94
1772283600,78.94,80.98,78.69,80.81
1772287200,80.82,81.51,80.05,80.25
1772290800,80.25,81.11,79.62,80.92
1772294400,80.91,81.33,80.5,81.07
1772298000,81.08,81.53,80.58,81.38
1772301600,81.38,82.91,81.1,82.36
1772305200,82.35,82.8,81.45,82.21
1772308800,82.22,85.05,81.97,84.88
1772312400,84.89,85.05,83.58,84.49
1772316000,84.49,85.65,84.25,84.29
1772319600,84.29,84.74,83.92,84.35
1772323200,84.35,85.01,84.32,84.87
1772326800,84.88,87.5,84.25,86.75
1772330400,86.75,88.9,86.75,87.97
1772334000,87.96,88.33,87.63,88.02
1772337600,88.02,88.26,86.87,87.55
1772341200,87.55,88.03,87.21,87.26
1772344800,87.26,87.38,86.16,86.66
1772348400,86.67,86.89,86.3,86.63
1772352000,86.63,86.83,85.07,85.22
1772355600,85.22,85.86,84.81,85
1772359200,85,85.66,84.71,85.23
1772362800,85.23,85.53,84.97,85.18
1772366400,85.18,85.4,84.76,84.88
1772370000,84.87,86.98,84.51,86.08
1772373600,86.09,86.89,85.44,85.8
1772377200,85.8,86.68,85.62,85.67
1772380800,85.67,86.1,83.71,84
1772384400,83.99,84.29,83.18,83.9
1772388000,83.89,85,83.86,83.92
1772391600,83.93,84.03,83.03,83.23
1772395200,83.23,83.27,81.69,81.98
1772398800,81.98,83.03,81.92,82.94
1772402400,82.93,84.12,82.38,82.73
1772406000,82.72,84.08,82.5,83.6
1772409600,83.61,85.24,83.48,85
1772413200,85,86.18,84.41,84.61
1772416800,84.62,84.77,83.46,84.15
1772420400,84.15,85.12,83.85,84.78
1772424000,84.78,84.84,84.1,84.3
1772427600,84.31,84.7,83.81,84.23
1772431200,84.23,84.26,82.88,83.26
1772434800,83.26,83.3,82.38,82.95
1772438400,82.96,83.63,82.37,83.46
1772442000,83.45,84.12,83.33,83.64
1772445600,83.63,84.1,83.36,83.89
1772449200,83.89,84.29,83.46,83.89
1772452800,83.88,84.15,83.57,83.7
1772456400,83.7,83.85,82.92,83.08
1772460000,83.07,85.97,82.78,85.68
1772463600,85.67,88.98,85.48,88.77
1772467200,88.77,90.29,88.47,88.85
1772470800,88.84,88.99,86.39,87.61
1772474400,87.61,87.84,86.69,87.31
1772478000,87.31,87.82,86.82,87.65
1772481600,87.65,88.08,86.85,87.57
1772485200,87.58,87.73,87.15,87.54
1772488800,87.55,88.25,87.26,88.04
1772492400,88.03,88.09,86.35,86.64
1772496000,86.65,87.32,86.11,86.92
1772499600,86.91,87.18,86.16,86.17
1772503200,86.16,86.35,85.23,86.21
1772506800,86.21,86.63,85.92,86.31
1772510400,86.31,86.46,85.65,85.85
1772514000,85.84,86.82,85.38,85.8
1772517600,85.79,85.98,85.4,85.85
1772521200,85.85,86.3,85.4,85.58
1772524800,85.58,85.77,83.94,84.26
1772528400,84.26,84.99,84.02,84.31
1772532000,84.3,84.57,83.7,83.92
1772535600,83.92,84.37,83.78,84.21
1772539200,84.22,85.37,84.14,84.42
1772542800,84.43,84.48,83.19,83.63
1772546400,83.63,84.43,82.5,83.24
1772550000,83.24,85.17,83.04,85.04
1772553600,85.03,87.34,84.33,85.4
1772557200,85.4,85.47,84.15,85.18
1772560800,85.18,86.02,84.52,85.38
1772564400,85.38,85.76,84.66,85.08
1772568000,85.08,85.46,84.66,84.85
1772571600,84.85,85.18,84.17,85.12
1772575200,85.13,86.65,85.11,86.29
1772578800,86.28,87.46,86.18,86.97
1772582400,86.98,87.4,86.28,86.62
1772586000,86.62,88.08,86.49,87.26
1772589600,87.26,87.48,86.55,87.08
1772593200,87.07,87.08,85.18,85.77
1772596800,85.77,85.91,84.82,85.41
1772600400,85.4,85.97,84.78,85.68
1772604000,85.67,86.04,84.97,85.6
1772607600,85.61,87.52,85.49,87.43
1772611200,87.43,89.91,86.98,89.71
1772614800,89.71,91.48,89.22,90.53
1772618400,90.53,91.05,89.88,90.15
1772622000,90.16,90.64,89.41,89.76
1772625600,89.76,89.87,88.69,89.42
1772629200,89.43,90.17,89.31,89.99
1772632800,90,91.76,89.46,90.19
1772636400,90.18,93.12,90.15,92.94
1772640000,92.94,93.15,90.96,91.55
1772643600,91.56,92.24,90.66,91.54
1772647200,91.55,92.49,91.12,92.38
1772650800,92.38,94.05,92.3,93.19
1772654400,93.19,93.76,92.77,92.87
1772658000,92.87,92.97,92.15,92.34
1772661600,92.35,92.86,91.17,91.33
1772665200,91.33,91.44,90.29,90.85
1772668800,90.86,91.4,90.73,90.79
1772672400,90.79,91.42,89.74,89.98
1772676000,89.98,90.68,89.97,90.2
1772679600,90.2,90.54,89.61,90.03
1772683200,90.03,90.74,89.9,90.4
1772686800,90.4,90.64,90.03,90.18
1772690400,90.18,91.01,89.7,90.87
1772694000,90.88,91.32,89.71,90.16
1772697600,90.16,90.71,89.66,90.64
1772701200,90.64,91.94,90.6,91.18
1772704800,91.19,92.96,91,92.65
1772708400,92.64,92.77,91.65,91.84
1772712000,91.84,92.22,91.31,91.98
1772715600,91.99,92.07,90.41,90.84
1772719200,90.84,91.49,89.82,91.02
1772722800,91.01,91.16,88.8,89.62
1772726400,89.61,89.63,87.92,88.97
1772730000,88.96,89.41,87.91,88.12
1772733600,88.11,88.89,88,88.8
1772737200,88.8,89.39,88.66,88.73
1772740800,88.72,89.57,88.54,89.21
1772744400,89.2,89.85,88.87,89.11
1772748000,89.12,89.41,88.86,89.09
1772751600,89.1,89.2,88.62,88.77
1772755200,88.78,89.04,88.58,88.86
1772758800,88.86,89.27,88.02,89.13
1772762400,89.13,89.31,88.21,88.38
1772766000,88.38,88.71,88.14,88.41
1772769600,88.4,88.59,87.67,88.15
1772773200,88.16,88.26,87.51,87.9
1772776800,87.89,88.44,87.67,88.09
1772780400,88.09,88.92,87.8,88.7
1772784000,88.7,88.7,88.2,88.35
1772787600,88.36,88.49,87.17,87.5
1772791200,87.5,87.96,87.41,87.71
1772794800,87.7,88,87.1,87.26
1772798400,87.25,87.27,85.9,86.47
1772802000,86.47,87.1,85.5,85.59
1772805600,85.59,85.75,83.96,84.34
1772809200,84.34,85.33,84.2,84.65
1772812800,84.65,85.02,84.1,84.36
1772816400,84.36,84.69,83.64,84.21
1772820000,84.21,85.63,84.18,85.28
1772823600,85.27,85.9,85.15,85.21
1772827200,85.21,85.47,84.56,85.01
1772830800,85,85.11,84.44,84.72
1772834400,84.73,85.06,84.54,84.96
1772838000,84.97,85.04,84.63,84.7
1772841600,84.69,85.07,84.52,84.75
1772845200,84.75,84.89,84.59,84.71
1772848800,84.71,84.74,84.32,84.65
1772852400,84.66,85.07,84.35,84.52
1772856000,84.53,84.56,84,84.27
1772859600,84.27,84.5,84.09,84.34
1772863200,84.34,84.34,83.9,84.03
1772866800,84.04,84.49,83.9,84.32
1772870400,84.33,84.66,84.12,84.37
1772874000,84.36,84.69,84.21,84.58
1772877600,84.57,84.76,84.41,84.5
1772881200,84.5,84.91,84.26,84.66
1772884800,84.66,84.78,84.28,84.3
1772888400,84.3,84.55,84.13,84.31
1772892000,84.3,84.42,83.67,84.23
1772895600,84.23,84.23,83.42,83.75
1772899200,83.75,83.8,83.5,83.59
1772902800,83.59,84.08,83.56,83.61
1772906400,83.62,83.63,83.01,83.38
1772910000,83.39,83.39,82.28,82.53
1772913600,82.52,83.13,82.51,83.02
1772917200,83.03,83.3,82.89,83.28
1772920800,83.28,83.32,82.66,82.98
1772924400,82.99,83.26,82.93,83.22
1772928000,83.22,83.49,82.93,83.06
1772931600,83.07,83.22,82.7,82.98
1772935200,82.97,83.1,82.11,82.39
1772938800,82.4,82.75,82.27,82.34
1772942400,82.34,82.56,81.74,81.97
1772946000,81.97,82.79,81.94,82.5
1772949600,82.5,82.61,82.27,82.45
1772953200,82.46,83.1,82.4,82.95
1772956800,82.95,83.12,82.51,83.1
1772960400,83.1,83.39,82.78,83.17
